question,question_type,question_format,complexity_of_format,analytical_depth,interdisciplinary_integration,language_and_cues,Overall_difficulty,Focus_area,is_incomplete,theme,keywords,textbooks,focus,is_upsc_scope,year
"59. With reference to Indian history, consider the following statements:
1. The Dutch established their factories/warehouses on the east coast on lands granted to them by Gajapati rulers.
2. Alfonso de Albuquerque captured Goa from the Bijapur Sultanate.
3. The English East India Company established a factory at Madras on a plot of land leased from a representative of the Vijayanagara empire.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of Indian colonial history, focusing on the establishment of trade connections involving different European powers and their relations with Indian rulers.",FALSE,European Colonial Establishment in India,"Dutch factories, Gajapati rulers, Alfonso de Albuquerque, Goa, Bijapur Sultanate, English East India Company, Madras, Vijayanagara empire","NCERT Modern History, Themes in Indian History – Part I & II by Bipin Chandra, India’s Struggle for Independence by Bipan Chandra",factual recall and interlinking of events in colonial history,TRUE,2022
"60. According to Kautilya's Arthashastra, which of the following are correct?
1. A person could be a slave as a result of a judicial punishment.
2. If a female slave bore her master a son, she was legally free.
3. If a son born to a female slave was fathered by her master, the son was entitled to the legal status of the master's son.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Kautilya's Arthashastra, focusing on the legal status of slaves and their offspring in ancient Indian society.",FALSE,Social and Legal Institutions in Ancient India,"Kautilya, Arthashastra, slave, judicial punishment, female slave, legal status, inheritance","Kautilya's Arthashastra, Ancient India by R.S. Sharma, Indian Society and Culture by R.K. Pruthi",factual recall and conceptual understanding of ancient legal and social systems,TRUE,2022
"61. Consider the following statements:
1. Tight monetary policy of US Federal Reserve could lead to capital flight.
2. Capital flight may increase the interest cost of firms with existing External Commercial Borrowings (ECBs).
3. Devaluation of domestic currency decreases the currency risk associated with ECBs.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of monetary policy and international finance, focusing on the consequences of US Federal Reserve's actions on capital flow and ECBs.",,Effects of Monetary Policy and Currency Risk on External Commercial Borrowings,"Tight monetary policy, US Federal Reserve, Capital flight, External Commercial Borrowings (ECBs), Devaluation, Currency risk","Indian Economy by Ramesh Singh, Modern Economic Development by Prabhat Patnaik, Economic Survey of India","Conceptual understanding and application of knowledge regarding monetary policy, capital flows, and currency risk management in an open economy context.",TRUE,2022
"62. Consider the following States:
1. Andhra Pradesh
2. Kerala
3. Himachal Pradesh
4. Tripura
How many of the above are generally known as tea-producing States?
(a) Only one State
(b) Only two States
(c) Only three States
(d) All four States",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of tea production in India, focusing on the identification of states known for tea cultivation.",FALSE,Indian Tea Industry and Regional Specializations,"tea production, Andhra Pradesh, Kerala, Himachal Pradesh, Tripura, regional agriculture","NCERT Geography, Certificate Physical and Human Geography by Goh Cheng Leong, Indian Economy by Ramesh Singh",Factual recall and application of regional production knowledge,TRUE,2022
"63. Consider the following statements:
1. In India, credit rating agencies are regulated by Reserve Bank of India.
2. The rating agency popularly known as ICRA is a public limited company.
3. Brickwork Ratings is an Indian credit rating agency.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of credit rating agencies in India, focusing on their regulation, company status, and the identification of agencies.",FALSE,Regulatory Framework of Credit Rating Agencies,"Credit Rating Agencies, Reserve Bank of India, ICRA, Brickwork Ratings, SEBI, Regulation","Indian Financial System by M.Y. Khan, Modern Banking by Shekhar Goyal",factual recall and application of knowledge on regulatory institutions and their functions,TRUE,2022
"64. With reference to the 'Banks Board Bureau (BBB)', which of the following statements are correct?
1. The Governor of RBI is the Chairman of BBB.
2. BBB recommends for the selection of heads for Public Sector Banks.
3. BBB helps the Public Sector Banks in developing strategies and capital raising plans.
Select the correct answer using the code given below:
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of the Banks Board Bureau, focusing on the roles and functions attributed to the Bureau.",FALSE,Banking Reforms and Corporate Governance,"Banks Board Bureau, Public Sector Banks, RBI, banking reforms, governance, capital raising","Indian Economy by Ramesh Singh, Governance in Public Sector Banks, Banking and Financial Institutions by Joshi",factual recall and conceptual understanding of institutional roles and reform measures in the banking sector,TRUE,2022
"65. With reference to Convertible Bonds, consider the following statements :
1. As there is an option to exchange the bond for equity, Convertible Bonds pay a lower rate of interest.
2. The option to convert to equity affords the bondholder a degree of indexation to rising consumer prices.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of Convertible Bonds, focusing on the implications of their features on interest rates and inflation protection.",FALSE,Financial Instruments and Markets,"Convertible Bonds, Corporate Finance, Interest Rate, Conversion Option, Bondholder, Equity","Indian Economy by R. Raghuvanshi, Macroeconomics for Indian Economy",Conceptual understanding and factual recall,TRUE,2022
"66. Consider the following:
1. Asian Infrastructure Investment Bank
2. Missile Technology Control Regime
3. Shanghai Cooperation Organisation
India is a member of which of the above?
(a) 1 and 2 only
(b) 3 only
(c) 2 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of India's international memberships, focusing on the status of India's membership in the mentioned organizations.",FALSE,India’s membership in global institutions,"Asian Infrastructure Investment Bank, Missile Technology Control Regime, Shanghai Cooperation Organisation, India, membership","Challenges to Internal Security of India, International Relations by Vijender Gupta, India's Foreign Policy: An Overview",Factual recall,TRUE,2022
"67. Consider the following statements :
1. Vietnam has been one of the fastest growing economies in the world in the recent years.
2. Vietnam is led by a multi-party political system.
3. Vietnam's economic growth is linked to its integration with global supply chains and focus on exports.
4. For a long time Vietnam's low labour costs and stable exchange rates have attracted global manufacturers.
5. Vietnam has the most productive e-service sector in the Indo-Pacific region.
Which of the statements given above are correct?
(a) 2 and 4
(b) 3 and 5
(c) 1, 3 and 4
(d) 1 and 2",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of Vietnam's economic development, focusing on the evaluation of statements related to economic growth, political system, and labor market factors.",,"Economic Growth, Global Integration, and Political Structure","Vietnam, economic growth, global supply chains, exports, low labour costs, stable exchange rates, multi-party political system","Contemporary World Politics (by G. R. Badrinath or similar), NCERT Modern World History and Political Science textbooks",This question assesses factual recall and analytical ability in linking economic and political biographical details of a nation within the context of global integration.,TRUE,2022
"68. In India, which one of the following is responsible for maintaining price stability by controlling inflation?
(a) Department of Consumer Affairs
(b) Expenditure Management Commission
(c) Financial Stability and Development Council
(d) Reserve Bank of India",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of monetary policy, focusing on the authority responsible for controlling inflation in India.",FALSE,Price Stability and Inflation Control,"Reserve Bank of India, price stability, inflation control, monetary policy, economic stability","Indian Economy by Ramesh Singh, Economic Survey of India, Introduction to the Constitution of India (for general UPSC preparation)",factual recall,TRUE,2022
"69. With reference to Non-Fungible Tokens (NFTs), consider the following statements :
1. They enable the digital representation of physical assets.
2. They are unique cryptographic tokens that exist on a blockchain.
3. They can be traded or exchanged at equivalency and therefore can be used as a medium of commercial transactions.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Medium,Easy,Medium,"The question assesses factual recall in the context of Non-Fungible Tokens (NFTs), focusing on the properties and functionalities of NFTs as digital assets.",,Blockchain and Non-Fungible Tokens (NFTs),"NFT, Non-Fungible Tokens, blockchain, digital assets, cryptographic tokens, digital representation","Current Affairs and Editorials (various sources), NCERT textbooks (Digital India context), Standard reference books on Information Technology and Blockchain technology",Conceptual understanding of emerging digital technologies and their applications.,TRUE,2022
"70. Consider the following pairs:
Reservoirs States
1. Ghataprabha - Telangana
2. Gandhi Sagar - Madhya Pradesh
3. Indira Sagar - Andhra Pradesh
4. Maithon - Chhattisgarh
How many pairs given above are not correctly matched?
(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",Reasoning/Logical Elimination Questions,Matching Type Questions,Medium,Medium,Easy,Medium,Medium,"The question assesses analytical ability in the context of Indian Geography, focusing on the correct matching of reservoirs with their respective states.",FALSE,Location and Riverine Infrastructure,"Reservoirs, Ghataprabha, Gandhi Sagar, Indira Sagar, Maithon, State association, Geographical location","NCERT Geography, Indian Geography by Majid Hussain",Factual recall and application of geographical knowledge,TRUE,2022
"71. In India, which one of the following compiles information on industrial disputes, closures, retrenchments and lay-offs in factories employing workers?
(a) Central Statistics Office
(b) Department for Promotion of Industry and Internal Trade
(c) Labour Bureau
(d) National Technical Manpower Information System",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Labour and Employment in India, focusing on the organization responsible for monitoring industrial relations and statistics.",.FALSE.,Industrial Disputes and Labour Policies,"industrial disputes, closures, retrenchments, lay-offs, factories, Labour Bureau","Indian Economy by Ramesh Singh, Development and Structure of Indian Economy",Factual Recall,TRUE,2022
"72. In India, what is the role of the Coal Controller's Organization (CCO)?
1. CCO is the major source of Coal Statistics in Government of India.
2. It monitors progress of development of Captive Coal/Lignite blocks.
3. It hears any objection to the Government's notification relating to acquisition of coal-bearing areas.
4. It ensures that coal mining companies deliver the coal to end users in the prescribed time.
Select the correct answer using the code given below:
(a) 1, 2 and 3
(b) 3 and 4 only
(c) 1 and 2 only
(d) 1, 2 and 4",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of the Coal Controller's Organization in India, focusing on the roles and responsibilities of CCO.",,Role and Functions of the Coal Controller's Organization (CCO),"Coal Controller's Organization, CCO, coal statistics, captive coal, coal-bearing areas, mining regulation","Indian Economy by Ramesh Singh, Economic Survey of India, Reports and Publications by the Ministry of Coal",factual recall,TRUE,2022
"73. If a particular area is brought under the Fifth Schedule of the Constitution of India, which one of the following statements best reflects the consequence of it?
(a) This would prevent the transfer of land of tribal people to non-tribal people.
(b) This would create a local self-governing body in that area.
(c) This would convert that area into a Union Territory.
(d) The State having such areas would be declared a Special Category State.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the Fifth Schedule of the Constitution of India, focusing on the consequences of bringing an area under this schedule.",,Fifth Schedule Provisions and Tribal Areas,"Fifth Schedule, tribal areas, land transfer, constitutional provisions, tribal rights","Indian Polity by M. Laxmikanth, Introduction to the Constitution of India by D.D. Basu",factual recall and application of constitutional provisions,TRUE,2022
"74. Consider the following statements :
1. The India Sanitation Coalition is a platform to promote sustainable sanitation and is funded by the Government of India and the World Health Organization.
2. The National Institute of Urban Affairs is an apex body of the Ministry of Housing and Urban Affairs in Government of India and provides innovative solutions to address the challenges of Urban India.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of sustainable sanitation and urban development in India, focusing on the accuracy of the statements regarding the India Sanitation Coalition and the National Institute of Urban Affairs.",,Institutional Initiatives for Sustainable Sanitation and Urban Challenges,"India Sanitation Coalition, National Institute of Urban Affairs, Government of India, WHO, Ministry of Housing and Urban Affairs, Urban India, Sustainable Sanitation","Indian Polity by Laxmikanth, Environment and Ecology for UPSC by Majid Husain, Governance in India",Factual recall,TRUE,2022
"75. Which one of the following has been constituted under the Environment (Protection) Act, 1986?
(a) Central Water Commission
(b) Central Ground Water Board
(c) Central Ground Water Authority
(d) National Water Development Agency",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Environmental Law, focusing on the establishment bodies under the Environment (Protection) Act, 1986.",FALSE,"Institutional Framework under the Environment (Protection) Act, 1986","Environment (Protection) Act, 1986, Central Ground Water Authority, Environmental governance, Institutions","Environment and Ecology by Majid Husain, Shankar IAS Environment and Ecology",factual recall,TRUE,2022
"76. With reference to the ""United Nations Credentials Committee"", consider the following statements:
1. It is a committee set up by the UN Security Council and works under its supervision.
2. It traditionally meets in March, June and September every year.
3. It assesses the credentials of all UN members before submitting a report to the General Assembly for approval.
Which of the statements given above is/are correct?
(a) 3 only
(b) 1 and 3
(c) 2 and 3
(d) 1 and 2",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the United Nations and its operational committees, focusing on the nature and functions of the Credentials Committee.",,UN Credentials Committee and its Functions,"United Nations, Credentials Committee, UN General Assembly, Security Council, credentials assessment, UN members","International Relations by Pavneet Singh, India's Foreign Policy: Coping with the Changing World Order",Conceptual understanding of the structure and functioning of UN institutions as per the Indian UPSC curriculum,TRUE,2022
"77. Which one of the following statements best describes the 'Polar Code'?
(a) It is the international code of safety for ships operating in polar waters.
(b) It is the agreement of the countries around the North Pole regarding the demarcation of their territories in the polar region.
(c) It is a set of norms to be followed by the countries whose scientists undertake research studies in the North Pole and South Pole.
(d) It is a trade and security agreement of the member countries of the Arctic Council.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of international maritime regulations, focusing on the definition and purpose of the Polar Code.",FALSE,International Conventions and Norms,"Polar Code, International Maritime Safety, Polar Waters, Regulatory Norms","International Maritime Conventions, Global Studies for UPSC",Factual recall and conceptual understanding related to international maritime safety regulations.,TRUE,2022
"78. With reference to the United Nations General Assembly, consider the following statements:
1. The UN General Assembly can grant observer status to the non-member States.
2. Inter-governmental organisations can seek observer status in the UN General Assembly.
3. Permanent Observers in the UN General Assembly can maintain missions at the UN headquarters.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the United Nations General Assembly, focusing on the grants of observer status to non-member states and inter-governmental organisations.",FALSE,Functions and Structure of the United Nations General Assembly,"United Nations General Assembly, observer status, non-member States, inter-governmental organizations, Permanent Observers, UN headquarters","International Relations by Pavneet Singh, Global Politics by Andrew Heywood, India's Foreign Policy: An Introduction",factual recall and application of knowledge regarding the roles and privileges of observers in the UN General Assembly,TRUE,2022
"79. With reference to the ""Tea Board"" in India, consider the following statements :
1. The Tea Board is a statutory body.
2. It is a regulatory body attached to the Ministry of Agriculture and Farmers Welfare.
3. The Tea Board's Head Office is situated in Bengaluru.
4. The Board has overseas offices at Dubai and Moscow.
Which of the statements given above are correct?
(a) 1 and 3
(b) 2 and 4
(c) 3 and 4
(d) 1 and 4",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the Tea Board in India, focusing on the statutory status, regulatory functions, and operational locations of the Board.",FALSE,Statutory Bodies and Regulatory Functions,"Tea Board, statutory body, regulatory body, Ministry of Agriculture, Overseas offices, Government agencies","Introduction to the Constitution of India by D.D. Basu, Indian Polity by M. Laxmikanth",factual recall,TRUE,2022
"80. Which one of the following best describes the term ""greenwashing""?
(a) Conveying a false impression that a company's products are eco-friendly and environmentally sound
(b) Non-inclusion of ecological/ environmental costs in the Annual Financial Statements of a country
(c) Ignoring the disastrous ecological consequences while undertaking infrastructure development
(d) Making mandatory provisions for environmental costs in a government project/programme",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of environmental sustainability and corporate ethics, focusing on the definition of 'greenwashing'.",FALSE,Greenwashing and Corporate Environmental Claims,"greenwashing, eco-friendly, false impression, corporate claims, environmental sustainability","Environment and Ecology by Majid Husain, Environmental Studies: From Crisis to Cure by R. Rajagopalan",factual recall and conceptual understanding,TRUE,2022
"81. Consider the following statements :
1. High clouds primarily reflect solar radiation and cool the surface of the Earth.
2. Low clouds have a high absorption of infrared radiation emanating from the Earth's surface and thus cause warming effect.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of atmospheric science, focusing on the effects of different cloud types on Earth's radiation balance.",,Cloud Radiative Effects and Climate,"high clouds, low clouds, solar radiation, infrared radiation, radiative forcing, greenhouse effect","Climatology by P. K. Bhargava, Atmospheric Science: An Introductory Survey by John M. Wallace and Peter V. Hobbs, IPCC Assessment Reports",Conceptual understanding,TRUE,2022
"82. Consider the following statements:
1. Bidibidi is a large refugee settlement in north-western Kenya.
2. Some people who fled from South Sudan civil war live in Bidibidi.
3. Some people who fled from civil war in Somalia live in Dadaab refugee complex in Kenya.
Which of the statements given above is/are correct?
(a) 1 and 2
(b) 2 only
(c) 2 and 3
(d) 3 only",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Medium,Medium,"The question assesses analytical ability in the context of refugee settlements in Kenya, focusing on the accuracy of statements about the locations and origins of refugees.",FALSE,Factual recall of refugee settlements and migratory movements,"Bidibidi, Kenya, Uganda, Dadaab, refugee settlements, South Sudan civil war, Somalia civil war","Contemporary World Politics, International Relations by Pavneet Singh, Refugee Studies: A Reader",factual recall and conceptual understanding,TRUE,2022
"83. Consider the following countries:
1. Armenia
2. Azerbaijan
3. Croatia
4. Romania
5. Uzbekistan
Which of the above are members of the Organization of Turkic States?
(a) 1, 2 and 4
(b) 1 and 3
(c) 2 and 5
(d) 3, 4 and 5",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of international organizations, focusing on member countries of the Organization of Turkic States.",FALSE,Regional Organizations and Global Alliances,"Organization of Turkic States, Azerbaijan, Uzbekistan, Armenia, Croatia, Romania","Contemporary World Politics by G. Arora, International Relations by L. Paul, World Politics by J. Baylis, S. Smith, and P. Owens",factual recall and application of current knowledge about international organizations,TRUE,2022
"84. Consider the following statements :
1. Gujarat has the largest solar park in India.
2. Kerala has a fully solar powered International Airport.
3. Goa has the largest floating solar photovoltaic project in India.
Which of the statements given above is/are correct?
(a) 1 and 2
(b) 2 only
(c) 1 and 3
(d) 3 only",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of renewable energy initiatives in India, focusing on the geographical distribution and characteristics of solar energy projects.",FALSE,Solar Energy Initiatives in India,"Solar park, Solar photovoltaic, Floating solar, Cochin International Airport, Renewable energy, Gujarat, Kerala, Goa","India Year Book, Contemporary World Politics and India, Environmental Studies by Majid Husain",Factual recall and application of current affairs related to solar energy projects in India,TRUE,2022
"85. With reference to the United Nations Convention on the Law of Sea, consider the following statements:
1. A coastal state has the right to establish the breadth of its territorial sea up to a limit not exceeding 12 nautical miles, measured from baseline determined in accordance with the convention.
2. Ships of all states, whether coastal or land-locked, enjoy the right of innocent passage through the territorial sea.
3. The Exclusive Economic Zone shall not extend beyond 200 nautical miles from the baseline from which the breadth of the territorial sea is measured.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of the 'United Nations Convention on the Law of Sea', focusing on the rights of coastal states and the regulations surrounding territorial seas and Exclusive Economic Zones.",,United Nations Convention on the Law of the Sea (UNCLOS),"territorial sea, 12 nautical miles, baseline, innocent passage, exclusive economic zone, 200 nautical miles","International Law by Malcolm Shaw, UN Convention on the Law of the Sea (UNCLOS) official documents, Maritime Zones texts in UPSC preparation materials",This question assesses conceptual understanding and factual recall of specific provisions under international maritime law as formulated by UNCLOS.,TRUE,2022
"86. Which one of the following statements best reflects the issue with Senkaku Islands, sometimes mentioned in the news?
(a) It is generally believed that they are artificial islands made by a country around South China Sea.
(b) China and Japan engage in maritime disputes over these islands in East China Sea.
(c) A permanent American military base has been set up there to help Taiwan to increase its defence capabilities.
(d) Though International Court of Justice declared them as no man's land, some South-East Asian countries claim them.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of territorial disputes, focusing on the nature of the Senkaku Islands and the geopolitical tensions between China and Japan.",FALSE,Maritime Disputes and Bilateral Relations,"Senkaku Islands, China, Japan, maritime disputes, East China Sea, International Court of Justice","Challenges to International Order: The Question of Global Governance, International Relations Theory, Contemporary World Politics",factual recall and conceptual understanding of territorial disputes and international relations dynamics,TRUE,2022
"87. Consider the following pairs:
Country Important reason for being in the news recently
1. Chad - Setting up of permanent military base by China
2. Guinea - Suspension of Constitution and Government by military
3. Lebanon - Severe and prolonged economic depression
4. Tunisia - Suspension of Parliament by President
How many pairs given above are correctly matched?
(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of current affairs regarding international relations and political events, focusing on the correctness of associations between countries and their recent news significance.",FALSE,Evaluation of Contemporary Global Political Events,"Chad, China military base, Guinea, Suspension of Constitution, Lebanon economic depression, Tunisia parliament suspension, Matching pairs, Current global news","India and the World by R.P. Barooah, Global Issues: A Geography of Problems, Perspectives, and Solutions by Andrew Knapp and Keith Hayward",Analytical ability to correlate contemporary global political events with the given descriptions and factual recall of recent events.,TRUE,2022
"88. Consider the following pairs :
Region often mentioned in the news Country
1. Anatolia - Turkey
2. Amhara - Ethiopia
3. Cabo Delgado - Spain
4. Catalonia - Italy
How many pairs given above are correctly matched?
(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of geopolitical knowledge, focusing on the accuracy of regional-country pairings.",FALSE,Matching regions with corresponding countries,"Anatolia, Amhara, Cabo Delgado, Catalonia, Turkey, Ethiopia, Spain, Italy","NCERT Geography Textbooks, Oxford School Atlas, Certificate Physical and Human Geography by G.C. Leong",factual recall,TRUE,2022
"89. With reference to Indian laws about wildlife protection, consider the following statements :
1. Wild animals are the sole property of the government.
2. When a wild animal is declared protected, such animal is entitled for equal protection whether it is found in protected areas or outside.
3. Apprehension of a protected wild animal becoming a danger to human life is sufficient ground for its capture or killing.
Which of the statements given above is/are correct?
(a) 1 and 2
(b) 2 only
(c) 1 and 3
(d) 3 only",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of wildlife protection laws in India, focusing on the ownership of wild animals and the conditions for their protection and capture.",FALSE,Indian Wildlife Protection Laws,"Wildlife Protection Act, wild animals, protected areas, legal provisions, human safety exception","Environment and Ecology by Majid Husain, Indian Polity by M. Laxmikanth (for legal context in governance), NCERT Biology and Environmental Studies textbooks",This question assesses factual recall of legal provisions under Indian wildlife protection laws and understanding the nuances of legal definitions and exceptions as applied in UPSC syllabus.,TRUE,2022
"90. Certain species of which one of the following organisms are well known as cultivators of fungi?
(a) Ant
(b) Cockroach
(c) Crab
(d) Spider",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of biological classifications, focusing on the organisms that cultivate fungi.",/FALSE/,Mutualism and Fungal Cultivation in Insects,"Ant, Fungi cultivation, Mutualism, Ecological interactions, Leafcutter ants","NCERT Biology (Class XI and XII), Modern Biology for UPSC",Factual Recall,TRUE,2022
"91. Consider the following pairs :
Site of Ashoka's
major rock edicts
Location in the
State of
1. Dhauli - Odisha
2. Erragudi - Andhra Pradesh
3. Jaugada - Madhya Pradesh
4. Kalsi - Karnataka
How many pairs given above are correctly
matched?
(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of India's historical sites, focusing on the correct locations of Ashoka's rock edicts.",FALSE,Ashoka’s Rock Edicts and their Geographical Distribution,"Ashoka, Rock Edicts, Dhauli, Erragudi, Jaugada, Kalsi, Odisha, Andhra Pradesh, Madhya Pradesh, Karnataka","Ancient India by R.S. Sharma, India's Ancient Past by R.S. Sharma, NCERT Ancient India Textbooks",Factual recall,TRUE,2022
"92. Consider the following pairs:
King Dynasty
1. Nannuka - Chandela
2. Jayashakti - Paramara
3. Nagabhata II - Gurjara-Pratihara
4. Bhoja - Rashtrakuta
How many pairs given above are correctly
matched?
(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Indian history, focusing on the correct matches between kings and their respective dynasties.",FALSE,Dynastic History and Chronology,"Chandela, Paramara, Gurjara-Pratihara, Rashtrakuta, Nannuka, Nagabhata II, Bhoja, Jayashakti","Medieval India by Satish Chandra, Ancient and Medieval India by Poonam Dalal Dahiya",factual recall,TRUE,2022
"93. Which one of the following statements about
Sangam literature in ancient South India is
correct?
(a) Sangam poems are devoid of any
reference to material culture.
(b) The social classification of Varna was
known to Sangam poets.
(c) Sangam poems have no reference to
warrior ethic.
(d) Sangam literature refers to magical
forces as irrational.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Sangam literature in ancient South India, focusing on the characteristics of Sangam poetry.",FALSE,Cultural and Social Aspects of Sangam Period,"Sangam literature, Ancient South India, Material culture, Social classification, Varna, Warrior ethic, Magical forces","NCERT Ancient India, A History of South India by K.A. Nilakanta Sastri","Factual recall and conceptual understanding of cultural, social, and literary aspects of Sangam literature.",TRUE,2022
"94. ""YogavÄsistha"" was translated into Persian by
Nizamuddin Panipati during the reign of:
(a) Akbar
(b) Humayun
(c) Shahjahan
(d) Aurangzeb",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Mughal history, focusing on the cultural exchanges during the reign of prominent emperors.",FALSE,Translation activities and Patronage in Mughal Era,"Yogavasistha, Nizamuddin Panipati, translation, Persian literature, Akbar","Medieval India by Satish Chandra, The Wonder That Was India by A.L. Basham, Mughal Empire by John F. Richards",factual recall,TRUE,2022
